Country,CancerPatientPercent,MeatConsumption
Denmark,0.47,95.4
France,0.19,76
Germany,0.26,108.2
Greece,0.12,49.3
Italy,0.27,77
Netherlands,0.29,100.4
Norway,0.17,77.8
Spain,0.22,104.5
Sweden,0.36,100.2
