Characteristic,MaleCases,MaleNonCases,FemaleCases,FemaleNonCases
Age (y),59.6,52.2,58.7,50.8
Weight (kg),83.3,81.3,67.6,66.1
Height (cm),174.2,174.8,161.8,162.3
Fiber (g/day),21.8,24.1,21.6,22.3
Folate (ug/day),299,318,300,296
